timestamp,class,name
16:51:15:426, __InstanceCreationEvent, chrome.exe, 6700
16:51:17:499, __InstanceDeletionEvent, CompatTelRunner.exe, 14992
16:51:30:933, __InstanceDeletionEvent, chrome.exe, 6700
16:51:31:967, __InstanceDeletionEvent, sppsvc.exe, 15160
16:51:45:420, __InstanceDeletionEvent, chrome.exe, 11448
16:51:47:486, __InstanceDeletionEvent, chrome.exe, 884
16:51:54:714, __InstanceDeletionEvent, RuntimeBroker.exe, 13680
16:52:15:419, __InstanceCreationEvent, svchost.exe, 14000
16:52:15:419, __InstanceCreationEvent, cltRT.exe, 14384
16:52:15:419, __InstanceCreationEvent, chrome.exe, 14984
16:52:16:460, __InstanceDeletionEvent, cltRT.exe, 14384
16:52:24:721, __InstanceDeletionEvent, svchost.exe, 8804
16:52:27:816, __InstanceCreationEvent, CompatTelRunner.exe, 17840
16:52:30:913, __InstanceCreationEvent, sppsvc.exe, 10576
16:52:30:928, __InstanceDeletionEvent, svchost.exe, 16000
16:52:30:928, __InstanceCreationEvent, taskhostw.exe, 21952
16:52:30:928, __InstanceCreationEvent, svchost.exe, 8408
16:52:30:928, __InstanceDeletionEvent, CompatTelRunner.exe, 17840
16:52:31:946, __InstanceDeletionEvent, taskhostw.exe, 21952
16:52:50:562, __InstanceDeletionEvent, chrome.exe, 14984
16:53:1:986, __InstanceDeletionEvent, sppsvc.exe, 10576
16:53:3:19, __InstanceDeletionEvent, chrome.exe, 21548
16:53:15:443, __InstanceCreationEvent, chrome.exe, 8760
16:53:31:32, __InstanceDeletionEvent, svchost.exe, 8408
16:53:34:158, __InstanceCreationEvent, symerr.exe, 11704
16:53:36:221, __InstanceDeletionEvent, symerr.exe, 11704
16:53:40:393, __InstanceCreationEvent, SearchProtocolHost.exe, 8220
16:53:43:503, __InstanceCreationEvent, WmiPrvSE.exe, 10700
16:53:50:768, __InstanceDeletionEvent, chrome.exe, 8760
16:53:52:862, __InstanceDeletionEvent, svchost.exe, 4192
16:54:15:629, __InstanceCreationEvent, chrome.exe, 7636
