timestamp,class,name
15:25:53:186, __InstanceDeletionEvent, git.exe, 12544
15:25:53:191, __InstanceDeletionEvent, cpptools-srv.exe, 14352
15:25:53:191, __InstanceDeletionEvent, git.exe, 16544
15:25:53:191, __InstanceDeletionEvent, conhost.exe, 22328
15:25:53:191, __InstanceDeletionEvent, conhost.exe, 2300
15:25:53:191, __InstanceDeletionEvent, conhost.exe, 23236
15:25:53:191, __InstanceDeletionEvent, git.exe, 7484
15:25:57:433, __InstanceCreationEvent, cpptools-srv.exe, 22352
15:25:57:438, __InstanceCreationEvent, conhost.exe, 24112
15:26:0:621, __InstanceDeletionEvent, cpptools-srv.exe, 11708
15:26:0:622, __InstanceDeletionEvent, conhost.exe, 7184
15:26:3:804, __InstanceCreationEvent, svchost.exe, 3756
15:26:22:971, __InstanceCreationEvent, chrome.exe, 21640
15:26:22:975, __InstanceCreationEvent, chrome.exe, 7452
15:26:27:245, __InstanceDeletionEvent, svchost.exe, 21404
15:26:40:7, __InstanceDeletionEvent, chrome.exe, 7452
15:26:41:72, __InstanceDeletionEvent, chrome.exe, 24096
15:27:45:802, __InstanceDeletionEvent, chrome.exe, 24492
15:27:50:34, __InstanceCreationEvent, chrome.exe, 4180
15:27:51:96, __InstanceCreationEvent, cpptools-srv.exe, 10352
15:27:51:100, __InstanceCreationEvent, cpptools-srv.exe, 13020
15:27:51:100, __InstanceCreationEvent, conhost.exe, 20404
15:27:51:100, __InstanceCreationEvent, conhost.exe, 9544
15:27:52:166, __InstanceDeletionEvent, cpptools-srv.exe, 10352
15:27:52:170, __InstanceDeletionEvent, conhost.exe, 20404
15:28:19:660, __InstanceDeletionEvent, cpptools-srv.exe, 22352
15:28:19:666, __InstanceDeletionEvent, conhost.exe, 24112
15:28:19:682, __InstanceCreationEvent, conhost.exe, 10044
15:28:19:686, __InstanceCreationEvent, cpptools-srv.exe, 16592
15:28:19:686, __InstanceCreationEvent, conhost.exe, 22200
15:28:19:686, __InstanceCreationEvent, cpptools-srv.exe, 9424
15:28:20:713, __InstanceDeletionEvent, conhost.exe, 10044
15:28:20:718, __InstanceDeletionEvent, cpptools-srv.exe, 9424
15:28:20:744, __InstanceCreationEvent, conhost.exe, 15796
15:28:20:749, __InstanceCreationEvent, conhost.exe, 18224
15:28:20:749, __InstanceCreationEvent, cpptools-srv.exe, 18888
15:28:20:749, __InstanceCreationEvent, cpptools-srv.exe, 24380
15:28:21:774, __InstanceDeletionEvent, conhost.exe, 15796
15:28:21:778, __InstanceDeletionEvent, cpptools-srv.exe, 24380
15:28:23:912, __InstanceCreationEvent, cpptools-srv.exe, 13396
15:28:23:913, __InstanceCreationEvent, msedge.exe, 14352
15:28:23:913, __InstanceCreationEvent, conhost.exe, 15516
15:28:23:913, __InstanceCreationEvent, cpptools-srv.exe, 24224
15:28:23:913, __InstanceCreationEvent, conhost.exe, 9512
15:28:24:944, __InstanceDeletionEvent, conhost.exe, 15516
15:28:24:944, __InstanceDeletionEvent, cpptools-srv.exe, 24224
15:28:26:28, __InstanceCreationEvent, conhost.exe, 13576
15:28:26:34, __InstanceCreationEvent, git.exe, 15148
15:28:26:34, __InstanceCreationEvent, conhost.exe, 22336
15:28:26:34, __InstanceCreationEvent, git.exe, 23176
15:28:27:84, __InstanceDeletionEvent, conhost.exe, 13576
15:28:27:89, __InstanceDeletionEvent, git.exe, 15148
15:28:27:89, __InstanceDeletionEvent, conhost.exe, 22336
15:28:27:89, __InstanceDeletionEvent, git.exe, 23176
15:28:53:475, __InstanceDeletionEvent, msedge.exe, 14352
15:29:12:554, __InstanceDeletionEvent, cpptools-srv.exe, 12996
15:29:12:554, __InstanceDeletionEvent, conhost.exe, 19300
15:29:40:175, __InstanceCreationEvent, conhost.exe, 17252
15:29:40:179, __InstanceCreationEvent, cpptools-srv.exe, 24060
15:29:41:232, __InstanceDeletionEvent, cpptools-srv.exe, 13020
15:29:41:238, __InstanceDeletionEvent, cpptools-srv.exe, 16592
15:29:41:238, __InstanceDeletionEvent, conhost.exe, 22200
15:29:41:238, __InstanceDeletionEvent, conhost.exe, 9544
15:30:18:332, __InstanceCreationEvent, MoUsoCoreWorker.exe, 14652
15:30:20:466, __InstanceCreationEvent, git.exe, 7664
15:30:21:540, __InstanceDeletionEvent, git.exe, 7664
15:30:49:5, __InstanceDeletionEvent, audiodg.exe, 24552
15:31:2:733, __InstanceCreationEvent, RuntimeBroker.exe, 7436
15:31:18:495, __InstanceDeletionEvent, MoUsoCoreWorker.exe, 14652
15:31:19:544, __InstanceCreationEvent, RuntimeBroker.exe, 24348
15:31:23:735, __InstanceCreationEvent, chrome.exe, 10068
15:31:23:735, __InstanceCreationEvent, chrome.exe, 17736
15:31:35:276, __InstanceDeletionEvent, cpptools-srv.exe, 13396
15:31:35:276, __InstanceDeletionEvent, conhost.exe, 9512
15:31:38:419, __InstanceDeletionEvent, chrome.exe, 17736
15:31:39:475, __InstanceDeletionEvent, chrome.exe, 21640
15:31:42:622, __InstanceDeletionEvent, RuntimeBroker.exe, 7436
15:31:59:437, __InstanceDeletionEvent, RuntimeBroker.exe, 24348
15:33:17:42, __InstanceCreationEvent, backgroundTaskHost.exe, 22280
15:33:17:42, __InstanceCreationEvent, RuntimeBroker.exe, 3044
15:33:23:342, __InstanceCreationEvent, SearchProtocolHost.exe, 23668
15:34:16:881, __InstanceDeletionEvent, backgroundTaskHost.exe, 22280
15:34:40:962, __InstanceCreationEvent, svchost.exe, 5304
15:34:46:240, __InstanceDeletionEvent, RuntimeBroker.exe, 3044
15:35:4:212, __InstanceCreationEvent, MoUsoCoreWorker.exe, 15780
15:35:18:906, __InstanceDeletionEvent, SearchProtocolHost.exe, 23668
15:36:4:9, __InstanceDeletionEvent, svchost.exe, 3756
15:36:5:60, __InstanceDeletionEvent, MoUsoCoreWorker.exe, 15780
15:36:20:794, __InstanceDeletionEvent, chrome.exe, 4180
15:36:22:898, __InstanceCreationEvent, chrome.exe, 13712
15:36:22:898, __InstanceCreationEvent, chrome.exe, 5028
15:36:38:629, __InstanceDeletionEvent, chrome.exe, 5028
15:36:39:682, __InstanceDeletionEvent, chrome.exe, 10068
15:36:51:270, __InstanceCreationEvent, chrome.exe, 21952
15:38:40:216, __InstanceDeletionEvent, svchost.exe, 5304
15:39:1:193, __InstanceCreationEvent, svchost.exe, 9580
15:41:22:817, __InstanceCreationEvent, chrome.exe, 21876
15:41:23:868, __InstanceCreationEvent, chrome.exe, 24120
15:41:38:574, __InstanceDeletionEvent, chrome.exe, 21876
15:41:39:625, __InstanceDeletionEvent, chrome.exe, 13712
15:41:44:856, __InstanceCreationEvent, audiodg.exe, 20848
15:42:0:613, __InstanceCreationEvent, backgroundTaskHost.exe, 18284
15:42:0:613, __InstanceCreationEvent, msteamsupdate.exe, 18352
15:42:1:660, __InstanceCreationEvent, svchost.exe, 12508
15:42:2:774, __InstanceDeletionEvent, msteamsupdate.exe, 18352
15:42:14:267, __InstanceCreationEvent, symerr.exe, 5548
15:42:17:494, __InstanceDeletionEvent, symerr.exe, 5548
15:43:51:899, __InstanceDeletionEvent, chrome.exe, 21952
15:44:50:668, __InstanceCreationEvent, chrome.exe, 2384
15:45:32:637, __InstanceCreationEvent, svchost.exe, 17336
15:45:32:637, __InstanceCreationEvent, LogonUI.exe, 18056
16:35:21:16, __InstanceCreationEvent, MicrosoftEdgeUpdate.exe, 12832
16:35:21:842, __InstanceCreationEvent, GoogleUpdate.exe, 19220
16:35:21:842, __InstanceCreationEvent, MoUsoCoreWorker.exe, 21028
16:35:21:842, __InstanceCreationEvent, svchost.exe, 5652
16:35:21:934, __InstanceDeletionEvent, MicrosoftEdgeUpdate.exe, 12832
16:35:21:996, __InstanceCreationEvent, svchost.exe, 23656
16:35:21:996, __InstanceCreationEvent, svchost.exe, 8696
16:35:22:9, __InstanceDeletionEvent, GoogleUpdate.exe, 19220
16:35:22:886, __InstanceCreationEvent, chrome.exe, 22648
16:35:22:892, __InstanceCreationEvent, chrome.exe, 8164
16:35:24:15, __InstanceCreationEvent, identity_helper.exe, 23464
16:35:25:142, __InstanceCreationEvent, dllhost.exe, 20748
16:35:31:502, __InstanceDeletionEvent, dllhost.exe, 20748
